,,,Before Mutation,,,,,After Mutation
Mutant Filename,Mutation Operator,Start Line#,Start Col#,End Line#,End Col#,Target Token,Start Line#,Start Col#,End Line#,End Col#,Mutated Token,Extra Info
BinaryGlobal.MUT1.c,VGSR,14,5,14,8,low,14,5,14,10,count,,binary
BinaryGlobal.MUT2.c,VLSR,14,5,14,8,low,14,5,14,8,key,,binary
BinaryGlobal.MUT3.c,VLSR,14,5,14,8,low,14,5,14,9,high,,binary
BinaryGlobal.MUT4.c,VLSR,14,5,14,8,low,14,5,14,8,mid,,binary
BinaryGlobal.MUT5.c,OEAA,14,9,14,10,=,14,9,14,11,%=,=%=,binary
BinaryGlobal.MUT6.c,OEAA,14,9,14,10,=,14,9,14,11,*=,=*=,binary
BinaryGlobal.MUT7.c,OEAA,14,9,14,10,=,14,9,14,11,+=,=+=,binary
BinaryGlobal.MUT8.c,OEAA,14,9,14,10,=,14,9,14,11,-=,=-=,binary
BinaryGlobal.MUT9.c,OEAA,14,9,14,10,=,14,9,14,11,/=,=/=,binary
BinaryGlobal.MUT10.c,CGCR,14,11,14,12,0,14,11,14,12,5,,binary
BinaryGlobal.MUT11.c,CLCR,14,11,14,12,0,14,11,14,12,1,,binary
BinaryGlobal.MUT12.c,CLCR,14,11,14,12,0,14,11,14,12,2,,binary
BinaryGlobal.MUT13.c,VGSR,15,5,15,9,high,15,5,15,10,count,,binary
BinaryGlobal.MUT14.c,VLSR,15,5,15,9,high,15,5,15,8,key,,binary
BinaryGlobal.MUT15.c,VLSR,15,5,15,9,high,15,5,15,8,low,,binary
BinaryGlobal.MUT16.c,VLSR,15,5,15,9,high,15,5,15,8,mid,,binary
BinaryGlobal.MUT17.c,OEAA,15,10,15,11,=,15,10,15,12,%=,=%=,binary
BinaryGlobal.MUT18.c,OEAA,15,10,15,11,=,15,10,15,12,*=,=*=,binary
BinaryGlobal.MUT19.c,OEAA,15,10,15,11,=,15,10,15,12,+=,=+=,binary
BinaryGlobal.MUT20.c,OEAA,15,10,15,11,=,15,10,15,12,-=,=-=,binary
BinaryGlobal.MUT21.c,OEAA,15,10,15,11,=,15,10,15,12,/=,=/=,binary
